0.000000000000000000e+00,2.000000000000000111e-01,4.826400000000000000e+04,2.318000000000000114e+02,6.789923323375544939e+00
1.000000000000000056e-01,2.000000000000000111e-01,8.337400000000000000e+04,2.208000000000000114e+02,6.630436483429159367e+00
2.000000000000000111e-01,2.000000000000000111e-01,6.564000000000000000e+04,1.551999999999999886e+02,6.582933464237379795e+00
3.000000000000000444e-01,2.000000000000000111e-01,1.800500000000000000e+04,1.674000000000000057e+02,7.361453519330342310e+00
4.000000000000000222e-01,2.000000000000000111e-01,5.490300000000000000e+04,1.192000000000000028e+02,7.180617740219117806e+00
5.000000000000000000e-01,2.000000000000000111e-01,8.838100000000000000e+04,1.388000000000000114e+02,5.719395714869884628e+00
6.000000000000000888e-01,2.000000000000000111e-01,8.691800000000000000e+04,1.930999999999999943e+02,5.570403901863255847e+00
7.000000000000000666e-01,2.000000000000000111e-01,7.642300000000000000e+04,1.293000000000000114e+02,4.231975672495800644e+00
8.000000000000000444e-01,2.000000000000000111e-01,9.178400000000000000e+04,1.748000000000000114e+02,3.865383606635932612e+00
9.000000000000000222e-01,2.000000000000000111e-01,7.471300000000000000e+04,1.137999999999999972e+02,-1.737744388296023956e+00
1.000000000000000000e+00,2.000000000000000111e-01,8.178500000000000000e+04,1.995000000000000000e+02,-1.383714357801641537e+00
